"Period","Country","Citizenship","Direction","Count"
200811,"All countries","non-NZ","Arrival",4792
200811,"All countries","NZ","Arrival",2254
200812,"All countries","non-NZ","Arrival",4073
200812,"All countries","NZ","Arrival",3493
200901,"All countries","non-NZ","Arrival",7213
200901,"All countries","NZ","Arrival",2461
200902,"All countries","non-NZ","Arrival",7621
200902,"All countries","NZ","Arrival",2138
200903,"All countries","non-NZ","Arrival",4861
200903,"All countries","NZ","Arrival",1756
200904,"All countries","non-NZ","Arrival",4286
200904,"All countries","NZ","Arrival",1689
200905,"All countries","non-NZ","Arrival",4092
200905,"All countries","NZ","Arrival",1693
200906,"All countries","non-NZ","Arrival",4020
200906,"All countries","NZ","Arrival",1726
200907,"All countries","non-NZ","Arrival",6115
200907,"All countries","NZ","Arrival",1986
200908,"All countries","non-NZ","Arrival",4432
200908,"All countries","NZ","Arrival",2038
200909,"All countries","non-NZ","Arrival",5015
200909,"All countries","NZ","Arrival",2127
200910,"All countries","non-NZ","Arrival",4520
200910,"All countries","NZ","Arrival",2300
200911,"All countries","non-NZ","Arrival",4442
200911,"All countries","NZ","Arrival",2436
200912,"All countries","non-NZ","Arrival",3709
200912,"All countries","NZ","Arrival",3734
201001,"All countries","non-NZ","Arrival",6574
201001,"All countries","NZ","Arrival",2700
201002,"All countries","non-NZ","Arrival",6418
201002,"All countries","NZ","Arrival",2175
201003,"All countries","non-NZ","Arrival",4267
201003,"All countries","NZ","Arrival",1842
201004,"All countries","non-NZ","Arrival",3622
201004,"All countries","NZ","Arrival",1637
201005,"All countries","non-NZ","Arrival",3441
201005,"All countries","NZ","Arrival",1574
201006,"All countries","non-NZ","Arrival",3557
201006,"All countries","NZ","Arrival",1644
201007,"All countries","non-NZ","Arrival",5854
201007,"All countries","NZ","Arrival",1831
201008,"All countries","non-NZ","Arrival",4860
201008,"All countries","NZ","Arrival",1827
201009,"All countries","non-NZ","Arrival",5400
201009,"All countries","NZ","Arrival",2048
201010,"All countries","non-NZ","Arrival",5112
201010,"All countries","NZ","Arrival",2004
201011,"All countries","non-NZ","Arrival",4813
201011,"All countries","NZ","Arrival",2044
201012,"All countries","non-NZ","Arrival",3700
201012,"All countries","NZ","Arrival",3525
201101,"All countries","non-NZ","Arrival",6648
201101,"All countries","NZ","Arrival",2590
201102,"All countries","non-NZ","Arrival",7061
201102,"All countries","NZ","Arrival",1871
201103,"All countries","non-NZ","Arrival",4697
201103,"All countries","NZ","Arrival",1655
201104,"All countries","non-NZ","Arrival",4132
201104,"All countries","NZ","Arrival",1568
201105,"All countries","non-NZ","Arrival",3931
201105,"All countries","NZ","Arrival",1409
201106,"All countries","non-NZ","Arrival",4004
201106,"All countries","NZ","Arrival",1432
201107,"All countries","non-NZ","Arrival",6378
201107,"All countries","NZ","Arrival",1936
201108,"All countries","non-NZ","Arrival",5113
201108,"All countries","NZ","Arrival",2016
201109,"All countries","non-NZ","Arrival",5206
201109,"All countries","NZ","Arrival",1956
201110,"All countries","non-NZ","Arrival",4782
201110,"All countries","NZ","Arrival",1805
201111,"All countries","non-NZ","Arrival",5075
201111,"All countries","NZ","Arrival",1952
201112,"All countries","non-NZ","Arrival",3970
201112,"All countries","NZ","Arrival",3000
201201,"All countries","non-NZ","Arrival",6473
201201,"All countries","NZ","Arrival",2168
201202,"All countries","non-NZ","Arrival",7362
201202,"All countries","NZ","Arrival",1926
201203,"All countries","non-NZ","Arrival",5295
201203,"All countries","NZ","Arrival",1495
201204,"All countries","non-NZ","Arrival",3721
201204,"All countries","NZ","Arrival",1402
201205,"All countries","non-NZ","Arrival",3974
201205,"All countries","NZ","Arrival",1348
201206,"All countries","non-NZ","Arrival",4458
201206,"All countries","NZ","Arrival",1591
201207,"All countries","non-NZ","Arrival",5781
201207,"All countries","NZ","Arrival",1807
201208,"All countries","non-NZ","Arrival",4807
201208,"All countries","NZ","Arrival",1867
201209,"All countries","non-NZ","Arrival",5561
201209,"All countries","NZ","Arrival",2009
201210,"All countries","non-NZ","Arrival",5317
201210,"All countries","NZ","Arrival",1976
201211,"All countries","non-NZ","Arrival",5235
201211,"All countries","NZ","Arrival",2106
201212,"All countries","non-NZ","Arrival",4061
201212,"All countries","NZ","Arrival",3515
201301,"All countries","non-NZ","Arrival",6568
201301,"All countries","NZ","Arrival",2477
201302,"All countries","non-NZ","Arrival",7098
201302,"All countries","NZ","Arrival",2104
201303,"All countries","non-NZ","Arrival",5367
201303,"All countries","NZ","Arrival",1876
201304,"All countries","non-NZ","Arrival",4623
201304,"All countries","NZ","Arrival",1691
201305,"All countries","non-NZ","Arrival",4272
201305,"All countries","NZ","Arrival",1611
201306,"All countries","non-NZ","Arrival",4812
201306,"All countries","NZ","Arrival",1694
201307,"All countries","non-NZ","Arrival",6567
201307,"All countries","NZ","Arrival",2061
201308,"All countries","non-NZ","Arrival",5599
201308,"All countries","NZ","Arrival",2129
201309,"All countries","non-NZ","Arrival",6108
201309,"All countries","NZ","Arrival",2320
201310,"All countries","non-NZ","Arrival",5994
201310,"All countries","NZ","Arrival",2255
201311,"All countries","non-NZ","Arrival",5884
201311,"All countries","NZ","Arrival",2341
201312,"All countries","non-NZ","Arrival",4617
201312,"All countries","NZ","Arrival",3897
201401,"All countries","non-NZ","Arrival",7496
201401,"All countries","NZ","Arrival",2745
201402,"All countries","non-NZ","Arrival",8476
201402,"All countries","NZ","Arrival",2417
201403,"All countries","non-NZ","Arrival",6202
201403,"All countries","NZ","Arrival",2184
201404,"All countries","non-NZ","Arrival",5183
201404,"All countries","NZ","Arrival",1947
201405,"All countries","non-NZ","Arrival",5080
201405,"All countries","NZ","Arrival",1866
201406,"All countries","non-NZ","Arrival",5574
201406,"All countries","NZ","Arrival",1842
201407,"All countries","non-NZ","Arrival",7944
201407,"All countries","NZ","Arrival",2295
201408,"All countries","non-NZ","Arrival",6911
201408,"All countries","NZ","Arrival",2297
201409,"All countries","non-NZ","Arrival",7675
201409,"All countries","NZ","Arrival",2346
201410,"All countries","non-NZ","Arrival",7548
201410,"All countries","NZ","Arrival",2430
201411,"All countries","non-NZ","Arrival",7278
201411,"All countries","NZ","Arrival",2588
201412,"All countries","non-NZ","Arrival",4922
201412,"All countries","NZ","Arrival",4071
201501,"All countries","non-NZ","Arrival",9456
201501,"All countries","NZ","Arrival",2990
201502,"All countries","non-NZ","Arrival",9618
201502,"All countries","NZ","Arrival",2367
201503,"All countries","non-NZ","Arrival",7306
201503,"All countries","NZ","Arrival",2255
201504,"All countries","non-NZ","Arrival",5750
201504,"All countries","NZ","Arrival",2026
201505,"All countries","non-NZ","Arrival",5604
201505,"All countries","NZ","Arrival",1999
201506,"All countries","non-NZ","Arrival",5989
201506,"All countries","NZ","Arrival",1990
201507,"All countries","non-NZ","Arrival",9343
201507,"All countries","NZ","Arrival",2373
201508,"All countries","non-NZ","Arrival",7487
201508,"All countries","NZ","Arrival",2455
201509,"All countries","non-NZ","Arrival",8556
201509,"All countries","NZ","Arrival",2481
201510,"All countries","non-NZ","Arrival",8658
201510,"All countries","NZ","Arrival",2561
201511,"All countries","non-NZ","Arrival",8100
201511,"All countries","NZ","Arrival",2534
201512,"All countries","non-NZ","Arrival",5900
201512,"All countries","NZ","Arrival",4139
201601,"All countries","non-NZ","Arrival",10070
201601,"All countries","NZ","Arrival",3402
201602,"All countries","non-NZ","Arrival",10735
201602,"All countries","NZ","Arrival",2532
201603,"All countries","non-NZ","Arrival",7164
201603,"All countries","NZ","Arrival",2221
201604,"All countries","non-NZ","Arrival",6283
201604,"All countries","NZ","Arrival",2093
201605,"All countries","non-NZ","Arrival",5851
201605,"All countries","NZ","Arrival",1911
201606,"All countries","non-NZ","Arrival",6149
201606,"All countries","NZ","Arrival",2057
201607,"All countries","non-NZ","Arrival",9298
201607,"All countries","NZ","Arrival",2358
201608,"All countries","non-NZ","Arrival",7241
201608,"All countries","NZ","Arrival",2709
